CSO_TagName,X_COORD,Y_COORD
ALKI,-122.4225,47.57024
ALSK,-122.40695,47.55944
MURR,-122.4,47.54028
BART,-122.39639,47.52389
EMAR,-122.31849,47.53705
MICH,-122.33497,47.54353
NORF,-122.29736,47.51194
8TH,-122.32264,47.53365
T115,-122.3405,47.54826
BRAN,-122.34083,47.55466
HAN1,-122.34532,47.56311
HARB,-122.36116,47.57371
53RD,-122.40255,47.5848
63RD,-122.4163,47.57002
KDOM,-122.34211,47.59253
PINE,-122.2803,47.61493
BELV,-122.28759,47.6567
30TH,-122.28759,47.6567
MONT,-122.30486,47.64711
UNIV,-122.31119,47.64897
DEXT,-122.33875,47.6323
CANL,-122.35811,47.65186
MAGN,-122.39902,47.63018
KING,-122.33742,47.599
DUWA,-122.34527,47.56299
3RD,-122.36029,47.65209
11TH,-122.37077,47.65949
CARK,-122.38801,47.71154
RAIN,-122.27553,47.57137
WMIC,-122.33499,47.54156
HEND,-122.26295,47.52329
CHEL,-122.35778,47.57367
DENN,-122.36081,47.61814
ECSO,-122.36189,47.61753
NBEA,-122.39076,47.70214
BALL,-122.38233,47.66392
HANF,-122.34278,47.57722
LAND,-122.34259,47.58148
NPDES012,-122.2528611,47.67102726
NPDES013,-122.2664069,47.66413811
NPDES014,-122.2678885,47.65932479
NPDES015,-122.2712098,47.65515527
NPDES016,-122.2783736,47.64821927
NPDES018,-122.2879343,47.65614948
NPDES019,-122.2960971,47.65914007
NPDES020,-122.3005852,47.64708972
NPDES022,-122.2828934,47.64277847
NPDES026,-122.2792663,47.61974601
NPDES027,-122.2799615,47.61494078
NPDES028,-122.2802949,47.61393401
NPDES029,-122.2821767,47.60684344
NPDES030,-122.2823465,47.60578985
NPDES031,-122.2843049,47.6001776
NPDES032,-122.2860964,47.59571668
NPDES033,-122.2861924,47.5946151
NPDES034,-122.2862044,47.5943949
NPDES035,-122.2841203,47.58753657
NPDES036,-122.286279,47.58269088
NPDES037,-122.2798085,47.57353616
NPDES038,-122.2750687,47.57115438
NPDES040,-122.271966,47.56875165
NPDES041,-122.2694776,47.56842811
NPDES042,-122.2663445,47.56249195
NPDES044,-122.2555124,47.54780074
NPDES045,-122.2595321,47.54146498
NPDES046,-122.2614522,47.52957583
NPDES047,-122.2626077,47.52351236
NPDES171,-122.2587007,47.52087844
NPDES048,-122.2529569,47.51612473
NPDES049,-122.2499883,47.513597
NPDES056,-122.4056328,47.68080813
NPDES057,-122.407348,47.67860451
NPDES059,-122.4061857,47.67024941
NPDES060,-122.4077581,47.66783263
NPDES061,-122.4171261,47.64325304
NPDES062,-122.4170405,47.64163846
NPDES064,-122.3988061,47.63113635
NPDES068,-122.3793041,47.63291794
NPDES069,-122.3525025,47.61305626
NPDES070,-122.3407933,47.60571578
NPDES071,-122.339018,47.60356187
NPDES072,-122.3370392,47.60086848
NPDES099,-122.361056,47.57384604
NPDES107,-122.3430585,47.57366878
NPDES111,-122.345511,47.56313541
NPDES116,-122.3318992,47.54133397
NPDES120,-122.3470278,47.6456047
NPDES121,-122.3398675,47.63805493
NPDES124,-122.3386305,47.62662541
NPDES127,-122.3311672,47.62998625
NPDES129,-122.3296032,47.63660477
NPDES130,-122.3306282,47.63958758
NPDES131,-122.330167,47.64209736
NPDES132,-122.3289035,47.64336324
NPDES134,-122.3253069,47.6492407
NPDES135,-122.3209723,47.65240555
NPDES136,-122.3176171,47.64889827
NPDES139,-122.3106947,47.64276564
NPDES140,-122.309582,47.64703414
NPDES141,-122.3148469,47.65139811
NPDES144,-122.3255711,47.65328601
NPDES145,-122.3306138,47.65004146
NPDES146,-122.3399798,47.64705873
NPDES147,-122.3426858,47.64756843
NPDES150,-122.3877919,47.66662275
NPDES151,-122.3886366,47.66702381
NPDES152,-122.3929125,47.66704037
NPDES161,-122.2572641,47.67567725
NPDES148,-122.3669352,47.65639988
NPDES174,-122.3598901,47.65264644
NPDES175,-122.3274632,47.6335701
NPDES169,-122.3623093,47.52269007
NPDES078,-122.3771427,47.58758765
NPDES080,-122.3820195,47.59328796
NPDES083,-122.3947516,47.59154592
NPDES085,-122.4201544,47.57686497
NPDES088,-122.4007191,47.55564834
NPDES090,-122.3991924,47.54003026
NPDES091,-122.3956543,47.52568449
NPDES094,-122.395924,47.5237101
NPDES095,-122.3959322,47.52060833
NPDES170,-122.3627774,47.53881674
NPDES168,-122.3623041,47.53933145
NPDES025,-122.2755438,47.63071584
NPDES024,-122.2759649,47.63116691
NPDES043,-122.2634515,47.56015024
NPDES165,-122.2638837,47.56113521
NPDES138,-122.3158515,47.6466566
